intrest_rate,time_span,scheme_name_id
4.9,short,167
5.25,short,168
5.3,short,169
5.5,short,170
5,short,171
5.1,short,172
5.15,short,173
5.2,short,174
5.25,short,175
5.25,short,176
5.4,short,177
5,short,178
5.55,short,179
5.5,short,180
5.75,short,181
5.25,short,182
5.5,short,183
6.95,short,184
5.5,short,185
5.5,short,186
5.3,short,187
5.35,short,188
5.75,short,189
6.75,short,190
5.3,short,191
5.55,short,192
4.75,short,193
6,short,194
6.5,short,195
5.5,short,196
5.5,short,197
6,short,198
6.75,short,199
0,short,200
0,short,201
0,short,202
0,short,203
0,short,204
0,short,205
0,short,206
0,short,207
0,short,208
0,short,209
0,short,210
0,short,211
0,short,212
0,short,213
0,short,214
0,short,215
0,short,216
0,short,217
0,short,218
0,short,219
0,short,220
0,short,221
0,short,222
0,short,223
0,short,224
0,short,225
0,short,226
0,short,227
0,short,228
0,short,229
0,short,230
0,short,231
0,short,232
2.7,short,266
4,short,267
5.3,short,268
5.3,short,269
5,short,270
2.9,short,271
2.9,short,272
3.4,short,273
5.9,short,274
4.55,short,275
2.9,short,276
5,short,277
5.55,short,278
5.5,short,279
5.75,short,280
5.25,short,281
5.5,short,282
6.95,short,283
5.5,short,284
5.5,short,285
2.5,short,286
2.5,short,287
2.7,short,288
6.75,short,289
5.3,short,290
5.55,short,291
4.75,short,292
6,short,293
6.5,short,294
5.5,short,295
5.5,short,296
6,short,297
6.75,short,298
6.8,short,299
6.8,short,300
6.8,short,301
6.8,short,302
6.8,short,303
6.8,short,304
6.8,short,305
6.8,short,306
6.8,short,307
6.8,short,308
6.8,short,309
6.8,short,310
6.8,short,311
6.8,short,312
6.8,short,313
6.8,short,314
6.8,short,315
6.8,short,316
6.8,short,317
6.8,short,318
6.8,short,319
6.8,short,320
6.8,short,321
6.8,short,322
6.8,short,323
6.8,short,324
6.8,short,325
6.8,short,326
6.8,short,327
6.8,short,328
6.8,short,329
6.8,short,330
6.8,short,331
4.9,medium,167
5,medium,168
5.3,medium,169
5.6,medium,170
5.1,medium,171
5.1,medium,172
5.25,medium,173
5.15,medium,174
5.2,medium,175
5.25,medium,176
5.3,medium,177
5,medium,178
5.55,medium,179
5.4,medium,180
6,medium,181
5.75,medium,182
5.5,medium,183
6.95,medium,184
6.15,medium,185
5.35,medium,186
5.3,medium,187
5.35,medium,188
5.75,medium,189
6.5,medium,190
5.2,medium,191
5.65,medium,192
4.7,medium,193
5.65,medium,194
6.5,medium,195
6.9,medium,196
5.75,medium,197
5.75,medium,198
6.5,medium,199
0,medium,200
0,medium,201
0,medium,202
0,medium,203
0,medium,204
0,medium,205
0,medium,206
0,medium,207
0,medium,208
0,medium,209
0,medium,210
0,medium,211
0,medium,212
0,medium,213
0,medium,214
0,medium,215
0,medium,216
0,medium,217
0,medium,218
0,medium,219
0,medium,220
0,medium,221
0,medium,222
0,medium,223
0,medium,224
0,medium,225
0,medium,226
0,medium,227
0,medium,228
0,medium,229
0,medium,230
0,medium,231
0,medium,232
3.5,medium,266
4.5,medium,267
5.3,medium,268
4.1,medium,269
5.1,medium,270
4,medium,271
3.5,medium,272
4,medium,273
6,medium,274
5.25,medium,275
3.4,medium,276
5,medium,277
5.55,medium,278
5.4,medium,279
6,medium,280
5.75,medium,281
5.5,medium,282
6.95,medium,283
6.15,medium,284
5.35,medium,285
4,medium,286
4,medium,287
4,medium,288
6.5,medium,289
5.2,medium,290
5.65,medium,291
4.7,medium,292
5.65,medium,293
6.5,medium,294
6.9,medium,295
5.75,medium,296
5.75,medium,297
6.5,medium,298
5,long,167
5.1,long,168
5.3,long,169
6,long,170
5.1,long,171
4.8,long,172
5.15,long,173
5.2,long,174
5.25,long,175
5.25,long,176
5.4,long,177
5,long,178
5.6,long,179
5.5,long,180
5.75,long,181
6.25,long,182
5.25,long,183
6.95,long,184
6,long,185
5.5,long,186
5.5,long,187
5.5,long,188
5.75,long,189
6.5,long,190
5.2,long,191
5.65,long,192
4.5,long,193
6,long,194
6.5,long,195
6.6,long,196
5.5,long,197
6,long,198
6.75,long,199
0,long,200
0,long,201
0,long,202
0,long,203
0,long,204
0,long,205
0,long,206
0,long,207
0,long,208
0,long,209
0,long,210
0,long,211
0,long,212
0,long,213
0,long,214
0,long,215
0,long,216
0,long,217
0,long,218
0,long,219
0,long,220
0,long,221
0,long,222
0,long,223
0,long,224
0,long,225
0,long,226
0,long,227
0,long,228
0,long,229
0,long,230
0,long,231
0,long,232
7.1,long,233
7.1,long,234
7.1,long,235
7.1,long,236
7.1,long,237
7.1,long,238
7.1,long,239
7.1,long,240
7.1,long,241
7.1,long,242
7.1,long,243
7.1,long,244
7.1,long,245
7.1,long,246
7.1,long,247
7.1,long,248
7.1,long,249
7.1,long,250
7.1,long,251
7.1,long,252
7.1,long,253
7.1,long,254
7.1,long,255
7.1,long,256
7.1,long,257
7.1,long,258
7.1,long,259
7.1,long,260
7.1,long,261
7.1,long,262
7.1,long,263
7.1,long,264
7.1,long,265
4.9,long,266
4.5,long,267
5.3,long,268
4.16,long,269
5.1,long,270
5.1,long,271
5.25,long,272
5.2,long,273
6.7,long,274
5.25,long,275
5.4,long,276
5,long,277
5.6,long,278
5.5,long,279
5.75,long,280
6.25,long,281
5.25,long,282
6.95,long,283
6,long,284
5.5,long,285
5.4,long,286
5.5,long,287
6,long,288
6.5,long,289
5.2,long,290
5.65,long,291
4.5,long,292
6,long,293
6.5,long,294
6.6,long,295
5.5,long,296
6,long,297
6.75,long,298
